County,Cases1,Deaths2,Negatives3
Baker,99,2,1824
Benton,333,6,13550
Clackamas,2491,63,62342
Clatsop,221,0,5769
Columbia,190,1,7181
Coos,165,0,7097
Crook,63,1,2619
Curry,32,0,1850
Deschutes,879,12,30719
Douglas,248,4,13103
Gilliam,8,0,287
Grant,10,0,911
Harney,12,0,827
Hood River,252,0,5070
Jackson,1217,6,34470
Jefferson,554,8,4864
Josephine,204,2,12208
Klamath,291,3,10366
Lake,33,0,916
Lane,1323,17,65992
Lincoln,481,13,8810
Linn,548,13,16932
Malheur,1661,30,5377
Marion,4813,96,49352
Morrow,515,6,1799
Multnomah,7345,140,145647
Polk,538,15,9397
Sherman,18,0,342
Tillamook,53,0,3122
Umatilla,3052,41,13414
Union,446,2,4416
Wallowa,34,1,1011
Wasco,301,4,5164
Washington,4648,60,93707
Wheeler,0,0,164
Yamhill,784,14,17429
Total,33862,560,658083
