County,Cases1,Deaths2,Negatives3
Baker,4,0,503
Benton,83,5,6218
Clackamas,773,24,23648
Clatsop,49,0,2438
Columbia,31,0,2784
Coos,41,0,2710
Crook,11,0,1070
Curry,7,0,722
Deschutes,192,0,10744
Douglas,44,0,5080
Gilliam,0,0,96
Grant,1,0,192
Harney,1,0,411
Hood River,88,0,2328
Jackson,131,0,12350
Jefferson,126,0,1992
Josephine,41,1,4275
Klamath,123,1,4997
Lake,19,0,248
Lane,180,3,23897
Lincoln,327,2,4724
Linn,154,9,6932
Malheur,140,1,1558
Marion,1564,47,17189
Morrow,72,1,501
Multnomah,2301,69,52619
Polk,149,12,2912
Sherman,1,0,147
Tillamook,12,0,1274
Umatilla,620,4,3927
Union,347,1,1704
Wallowa,10,0,432
Wasco,75,1,2226
Washington,1446,20,33368
Wheeler,0,0,121
Yamhill,131,8,5423
Total,9636,209,241760
