County,Cases1,Deaths2
Baker,1038,15
Benton,3283,22
Clackamas,19076,235
Clatsop,1074,9
Columbia,1948,29
Coos,2189,38
Crook,1303,23
Curry,744,12
Deschutes,10100,82
Douglas,3971,83
Gilliam,81,1
Grant,552,7
Harney,438,10
Hood River,1228,33
Jackson,11641,148
Jefferson,2392,40
Josephine,3660,72
Klamath,4799,78
Lake,470,8
Lane,14043,168
Lincoln,1457,21
Linn,5738,81
Malheur,3621,64
Marion,23603,325
Morrow,1165,16
Multnomah,40577,615
Polk,4046,56
Sherman,70,1
Tillamook,672,4
Umatilla,8689,87
Union,1516,24
Wallowa,196,5
Wasco,1458,30
Washington,26950,252
Wheeler,35,1
Yamhill,4814,79
Total,208637,2774
