County,Cases1,Deaths2,Negatives3
Baker,111,2,2032
Benton,396,6,16065
Clackamas,2819,65,68507
Clatsop,233,0,6267
Columbia,233,1,7915
Coos,199,0,7986
Crook,73,1,2834
Curry,55,0,2089
Deschutes,1003,13,34515
Douglas,296,4,14271
Gilliam,11,0,335
Grant,10,0,976
Harney,13,0,882
Hood River,268,0,5491
Jackson,1413,6,37537
Jefferson,591,8,5271
Josephine,249,2,13272
Klamath,392,3,11106
Lake,35,0,986
Lane,1924,21,72261
Lincoln,503,13,9352
Linn,704,14,18789
Malheur,1799,34,5873
Marion,5321,102,54535
Morrow,532,6,1930
Multnomah,8171,149,160174
Polk,594,15,10606
Sherman,18,0,361
Tillamook,65,0,3348
Umatilla,3208,42,14365
Union,453,2,4752
Wallowa,37,1,1086
Wasco,328,15,5545
Washington,5196,68,102677
Wheeler,1,0,175
Yamhill,906,15,19226
Total,38160,608,723392
