County,Cases1,Deaths2
Baker,881,14
Benton,2802,19
Clackamas,15674,204
Clatsop,911,8
Columbia,1575,26
Coos,1992,31
Crook,907,19
Curry,606,9
Deschutes,7368,72
Douglas,3070,66
Gilliam,57,1
Grant,431,4
Harney,315,6
Hood River,1140,29
Jackson,10123,129
Jefferson,2083,32
Josephine,3117,62
Klamath,3625,59
Lake,419,7
Lane,11854,144
Lincoln,1312,20
Linn,4256,64
Malheur,3435,58
Marion,20503,299
Morrow,1085,15
Multnomah,35509,570
Polk,3503,52
Sherman,57,1
Tillamook,589,3
Umatilla,8008,83
Union,1420,23
Wallowa,158,5
Wasco,1320,28
Washington,23824,229
Wheeler,26,1
Yamhill,4155,75
Total,178110,2467
