County,Cases1,Deaths2,Negatives3
Baker,140,3,2272
Benton,463,6,18523
Clackamas,3267,66,76455
Clatsop,248,0,6813
Columbia,271,1,8714
Coos,260,1,8971
Crook,113,2,3154
Curry,58,1,2381
Deschutes,1185,13,38741
Douglas,368,8,15579
Gilliam,11,0,364
Grant,12,0,1055
Harney,35,0,957
Hood River,284,1,5902
Jackson,1796,7,41937
Jefferson,607,10,5666
Josephine,270,3,14710
Klamath,422,3,11871
Lake,43,0,1079
Lane,2467,27,81909
Lincoln,518,13,9873
Linn,845,15,21086
Malheur,1949,38,6370
Marion,6024,109,61156
Morrow,551,7,2101
Multnomah,9502,166,177556
Polk,668,15,12091
Sherman,20,0,387
Tillamook,74,0,3645
Umatilla,3435,45,15597
Union,484,2,5207
Unknown,0,0,1
Wallowa,49,2,1214
Wasco,349,16,5963
Washington,5991,78,113964
Wheeler,1,0,187
Yamhill,1013,15,21551
Total,43793,673,805002
