County,Cases1,Deaths2,Negatives3
Baker,5,0,546
Benton,95,5,6263
Clackamas,861,25,25014
Clatsop,54,0,2528
Columbia,42,0,2969
Coos,42,0,2896
Crook,13,0,1107
Curry,8,0,738
Deschutes,221,0,11575
Douglas,51,0,5415
Gilliam,1,0,107
Grant,1,0,205
Harney,1,0,423
Hood River,94,0,2463
Jackson,152,0,12954
Jefferson,134,0,2093
Josephine,56,1,4584
Klamath,130,1,5283
Lake,21,0,261
Lane,228,3,25694
Lincoln,346,4,4757
Linn,157,9,7078
Malheur,216,1,1820
Marion,1661,48,18304
Morrow,107,1,568
Multnomah,2529,69,56298
Polk,160,12,3067
Sherman,3,0,164
Tillamook,15,0,1439
Umatilla,772,6,4549
Union,356,1,1732
Wallowa,10,0,452
Wasco,94,1,2337
Washington,1620,20,35574
Wheeler,0,0,122
Yamhill,139,8,5947
Total,10395,215,257326
