Updated_6/30/2021_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"208,637"
Total deaths,"2,774"
Positive tests,"302,539"
Negative tests,"5,118,154"
Total tests,"5,420,693"
