County,Cases1,Deaths2,Negatives3
Baker,107,2,1963
Benton,378,6,15295
Clackamas,2676,64,65059
Clatsop,230,0,6090
Columbia,225,1,7597
Coos,196,0,7649
Crook,64,1,2763
Curry,35,0,1997
Deschutes,967,13,33087
Douglas,281,4,13796
Gilliam,9,0,322
Grant,10,0,956
Harney,12,0,859
Hood River,265,0,5332
Jackson,1335,6,36536
Jefferson,585,8,5167
Josephine,236,2,12915
Klamath,369,3,10863
Lake,34,0,965
Lane,1708,21,69648
Lincoln,493,13,9172
Linn,648,14,17982
Malheur,1758,33,5713
Marion,5106,101,52300
Morrow,530,6,1884
Multnomah,7844,146,151956
Polk,581,15,10052
Sherman,18,0,356
Tillamook,61,0,3264
Umatilla,3147,42,13926
Union,451,2,4682
Wallowa,36,1,1053
Wasco,316,14,5397
Washington,4956,65,99039
Wheeler,0,0,170
Yamhill,859,14,18340
Total,36526,597,694145
