County,Cases1,Deaths2
Baker,967,15
Benton,3183,21
Clackamas,18140,220
Clatsop,1005,8
Columbia,1805,29
Coos,2135,36
Crook,1191,22
Curry,663,10
Deschutes,9525,78
Douglas,3474,73
Gilliam,63,1
Grant,529,6
Harney,370,8
Hood River,1201,32
Jackson,11172,143
Jefferson,2286,37
Josephine,3447,71
Klamath,4636,71
Lake,462,7
Lane,13419,151
Lincoln,1397,21
Linn,5276,74
Malheur,3551,63
Marion,22669,313
Morrow,1125,16
Multnomah,39298,599
Polk,3849,53
Sherman,59,1
Tillamook,660,4
Umatilla,8355,86
Union,1460,23
Wallowa,187,5
Wasco,1409,28
Washington,26179,236
Wheeler,34,1
Yamhill,4603,77
Total,199784,2639
