County,Cases1,Deaths2,Negatives3
Baker,1,0,351
Benton,63,5,4618
Clackamas,509,19,16943
Clatsop,46,0,1936
Columbia,22,0,2080
Coos,32,0,2071
Crook,9,0,802
Curry,7,0,477
Deschutes,137,0,7737
Douglas,29,0,3861
Gilliam,0,0,78
Grant,1,0,150
Harney,1,0,328
Hood River,83,0,1910
Jackson,83,0,9236
Jefferson,69,0,1441
Josephine,24,1,3108
Klamath,61,0,4124
Lake,5,0,192
Lane,90,3,16170
Lincoln,223,0,2916
Linn,126,9,5504
Malheur,38,1,935
Marion,1201,31,12809
Morrow,17,0,243
Multnomah,1598,68,37242
Polk,127,12,2306
Sherman,1,0,125
Tillamook,6,0,965
Umatilla,181,4,2251
Union,240,0,829
Wallowa,4,0,309
Wasco,42,1,1787
Washington,928,20,23464
Wheeler,0,0,104
Yamhill,94,8,3993
Total,6098,182,"173,395"
