County,Cases1,Deaths2
Baker,508,5
Benton,1500,11
Clackamas,10872,117
Clatsop,615,3
Columbia,920,16
Coos,863,13
Crook,512,8
Curry,303,3
Deschutes,4412,24
Douglas,1522,42
Gilliam,45,1
Grant,174,1
Harney,150,3
Hood River,884,20
Jackson,6364,77
Jefferson,1584,20
Josephine,1415,28
Klamath,2182,21
Lake,218,4
Lane,7515,96
Lincoln,934,17
Linn,2877,36
Malheur,3017,51
Marion,15103,220
Morrow,866,8
Multnomah,26544,405
Polk,2193,33
Sherman,47,0
Tillamook,347,2
Umatilla,6187,60
Union,1032,16
Wallowa,86,3
Wasco,970,22
Washington,17156,151
Wheeler,17,1
Yamhill,2913,37
Total,122847,1575
