County,Positive,Deaths,Negative
Baker,1,0,96
Benton,47,5,2310
Clackamas,266,9,7025
Clatsop,29,0,808
Columbia,15,0,914
Coos,30,0,751
Crook,1,0,281
Curry,4,0,203
Deschutes,86,0,2665
Douglas,24,0,1420
Gilliam,0,0,32
Grant,1,0,67
Harney,1,0,85
Hood River,13,0,699
Jackson,49,0,4686
Jefferson,24,0,432
Josephine,24,1,1268
Klamath,39,0,2438
Lake,0,0,80
Lane,60,2,5280
Lincoln,6,0,757
Linn,102,8,2445
Malheur,14,0,344
Marion,677,23,5401
Morrow,12,0,99
Multnomah,885,53,15959
Polk,84,5,1109
Sherman,1,0,46
Tillamook,6,0,400
Umatilla,85,1,891
Union,4,0,158
Wallowa,1,0,47
Wasco,15,1,746
Washington,573,12,10317
Wheeler,0,0,20
Yamhill,49,7,1800
Total,3228,127,72279
