County,Cases1,Deaths2
Baker,902,14
Benton,2833,19
Clackamas,16019,206
Clatsop,924,8
Columbia,1607,26
Coos,2010,32
Crook,949,19
Curry,615,9
Deschutes,7676,73
Douglas,3097,69
Gilliam,57,1
Grant,468,4
Harney,318,7
Hood River,1149,30
Jackson,10300,129
Jefferson,2097,32
Josephine,3158,65
Klamath,3805,59
Lake,421,7
Lane,12071,144
Lincoln,1330,20
Linn,4361,64
Malheur,3440,59
Marion,20876,300
Morrow,1088,15
Multnomah,36155,574
Polk,3544,52
Sherman,57,1
Tillamook,604,3
Umatilla,8029,84
Union,1426,23
Wallowa,160,5
Wasco,1335,28
Washington,24189,229
Wheeler,26,1
Yamhill,4225,75
Total,181321,2486
