County,Cases1,Deaths2
Baker,985,15
Benton,3221,22
Clackamas,18598,227
Clatsop,1021,8
Columbia,1869,29
Coos,2152,37
Crook,1241,22
Curry,678,10
Deschutes,9785,80
Douglas,3703,79
Gilliam,71,1
Grant,539,6
Harney,406,9
Hood River,1210,32
Jackson,11350,146
Jefferson,2341,38
Josephine,3508,72
Klamath,4730,76
Lake,464,7
Lane,13702,155
Lincoln,1406,21
Linn,5455,77
Malheur,3583,63
Marion,23111,321
Morrow,1144,16
Multnomah,39886,608
Polk,3911,55
Sherman,65,1
Tillamook,660,4
Umatilla,8482,86
Union,1481,24
Wallowa,192,5
Wasco,1433,28
Washington,26534,241
Wheeler,34,1
Yamhill,4720,78
Total,203671,2700
