County,Cases1,Deaths2
Baker,977,15
Benton,3205,22
Clackamas,18398,223
Clatsop,1011,8
Columbia,1843,29
Coos,2147,37
Crook,1212,22
Curry,673,10
Deschutes,9707,79
Douglas,3624,78
Gilliam,71,1
Grant,536,6
Harney,394,8
Hood River,1207,32
Jackson,11301,145
Jefferson,2326,38
Josephine,3491,72
Klamath,4702,73
Lake,463,7
Lane,13581,155
Lincoln,1402,21
Linn,5384,77
Malheur,3576,63
Marion,22961,319
Morrow,1135,16
Multnomah,39681,607
Polk,3890,55
Sherman,64,1
Tillamook,665,4
Umatilla,8442,86
Union,1472,23
Wallowa,189,5
Wasco,1425,28
Washington,26401,239
Wheeler,34,1
Yamhill,4657,78
Total,202247,2683
