County,Cases1,Deaths2,Negatives3
Baker,5,0,553
Benton,97,5,6290
Clackamas,877,25,25445
Clatsop,54,0,2558
Columbia,44,0,3035
Coos,46,0,2920
Crook,14,0,1116
Curry,8,0,749
Deschutes,221,0,11634
Douglas,54,0,5474
Gilliam,1,0,109
Grant,1,0,212
Harney,1,0,429
Hood River,97,0,2493
Jackson,152,0,13094
Jefferson,136,0,2126
Josephine,59,1,4645
Klamath,131,1,5343
Lake,22,0,268
Lane,243,3,26039
Lincoln,346,4,4763
Linn,157,10,7120
Malheur,223,1,1841
Marion,1683,50,18641
Morrow,109,1,578
Multnomah,2580,70,57475
Polk,166,12,3094
Sherman,3,0,167
Tillamook,15,0,1460
Umatilla,792,6,4640
Union,361,1,1741
Wallowa,11,0,459
Wasco,96,1,2349
Washington,1645,20,36232
Wheeler,0,0,122
Yamhill,155,9,6087
Total,10605,220,261301
