County,Positive,Deaths,Negative
Baker,0,0,14
Benton,19,1,452
Clackamas,84,3,1814
Clatsop,4,0,177
Columbia,6,0,197
Coos,0,0,232
Crook,1,0,30
Curry,0,0,64
Deschutes,39,0,497
Douglas,11,0,340
Gilliam,0,0,8
Grant,1,0,13
Harney,0,0,37
Hood River,2,0,181
Jackson,33,0,2269
Jefferson,0,0,43
Josephine,13,0,406
Klamath,15,0,278
Lake,0,0,32
Lane,27,1,832
Lincoln,4,0,141
Linn,43,2,931
Malheur,2,0,84
Marion,198,5,1716
Morrow,2,0,33
Multnomah,233,7,4603
Polk,24,1,358
Sherman,1,0,5
Tillamook,3,0,93
Umatilla,7,0,207
Union,3,0,34
Wallowa,1,0,11
Wasco,7,0,167
Washington,259,4,2681
Wheeler,0,0,4
Yamhill,26,3,572
Total,1068,27,19556
