County,Number of cases,Deaths,Negative test results
Baker,0,0,1
Benton,2,0,67
Clackamas,11,0,256
Clatsop,0,0,30
Columbia,0,0,32
Coos,0,0,30
Crook,0,0,5
Curry,0,0,11
Deschutes,9,0,66
Douglas,1,0,37
Gilliam,0,0,1
Grant,1,0,0
Harney,0,0,1
Hood River,0,0,15
Jackson,2,0,124
Jefferson,0,0,5
Josephine,1,0,20
Klamath,1,0,26
Lake,0,0,0
Lane,3,1,145
Lincoln,0,0,19
Linn,19,0,265
Malheur,0,0,13
Marion,19,1,160
Morrow,0,0,4
Multnomah,18,1,498
Polk,1,0,33
Sherman,0,0,0
Tillamook,0,0,8
Umatilla,2,0,19
Union,1,0,11
Wallowa,0,0,3
Wasco,0,0,8
Washington,42,1,330
Wheeler,0,0,1
Yamhill,4,0,94
Total,137,4,2338
