County,Positive,Deaths,Negative
Baker,0,0,82
Benton,39,5,1738
Clackamas,231,7,6107
Clatsop,17,0,553
Columbia,14,0,802
Coos,28,0,675
Crook,1,0,247
Curry,4,0,181
Deschutes,80,0,2243
Douglas,24,0,1201
Gilliam,0,0,22
Grant,1,0,56
Harney,1,0,74
Hood River,11,0,539
Jackson,49,0,4350
Jefferson,14,0,359
Josephine,24,1,1173
Klamath,39,0,2240
Lake,0,0,72
Lane,55,2,4225
Lincoln,5,0,648
Linn,98,7,2076
Malheur,13,0,266
Marion,574,19,4777
Morrow,10,0,93
Multnomah,769,49,14183
Polk,68,2,944
Sherman,1,0,32
Tillamook,6,0,345
Umatilla,73,1,763
Union,4,0,140
Wallowa,1,0,38
Wasco,13,1,647
Washington,531,12,9134
Wheeler,0,0,13
Yamhill,41,7,1545
Total,2839,113,62583
