County,Cases1,Deaths2
Baker,526,5
Benton,1588,12
Clackamas,11268,125
Clatsop,638,4
Columbia,976,17
Coos,905,14
Crook,550,8
Curry,314,3
Deschutes,4635,31
Douglas,1590,42
Gilliam,46,1
Grant,174,1
Harney,159,3
Hood River,917,20
Jackson,6627,81
Jefferson,1627,23
Josephine,1560,29
Klamath,2306,30
Lake,222,5
Lane,7851,103
Lincoln,964,17
Linn,2984,38
Malheur,3075,51
Marion,15643,231
Morrow,897,9
Multnomah,27400,425
Polk,2324,35
Sherman,47,0
Tillamook,346,2
Umatilla,6421,61
Union,1063,16
Wallowa,92,3
Wasco,1012,23
Washington,17975,158
Wheeler,17,1
Yamhill,3041,40
Total,127780,1667
