Hospital_capacity_and_usage5,Available,Total_staffed
Adult ICU beds,185,798
Adult non-ICU beds,1664,6756
Pediatric NICU/PICU beds,82,314
Pediatric non-ICU beds,136,338
Ventilators,785,
