Updated_2/1/2021_with_data_from_12:01_am_(updated_Monday_-_Friday)
Total cases,"143,373"
Total deaths,"1,958"
Positive tests,"189,816"
Negative tests,"3,012,391"
Total tests,"3,202,207"
