County,Positive,Deaths,Negative
Baker,0,0,66
Benton,29,5,805
Clackamas,204,6,4420
Clatsop,6,0,424
Columbia,14,0,603
Coos,12,0,481
Crook,1,0,176
Curry,4,0,137
Deschutes,73,0,1673
Douglas,23,0,881
Gilliam,0,0,19
Grant,1,0,48
Harney,0,0,47
Hood River,5,0,416
Jackson,49,0,3862
Jefferson,6,0,190
Josephine,20,1,955
Klamath,36,0,1723
Lake,0,0,66
Lane,50,2,2878
Lincoln,5,0,449
Linn,74,7,1575
Malheur,6,0,225
Marion,436,15,3490
Morrow,5,0,76
Multnomah,652,37,10729
Polk,38,1,704
Sherman,1,0,24
Tillamook,6,0,254
Umatilla,36,0,597
Union,4,0,110
Wallowa,1,0,26
Wasco,12,1,531
Washington,466,10,6788
Wheeler,0,0,10
Yamhill,36,6,1195
Total,2311,91,46653
