County,Positive,Deaths,Negative
Baker,0,0,40
Benton,27,4,601
Clackamas,153,4,3160
Clatsop,6,0,326
Columbia,14,0,427
Coos,1,0,377
Crook,1,0,127
Curry,3,0,105
Deschutes,61,0,1243
Douglas,22,0,616
Gilliam,0,0,16
Grant,1,0,38
Harney,0,0,44
Hood River,4,0,338
Jackson,48,0,3310
Jefferson,1,0,120
Josephine,19,1,765
Klamath,29,0,1088
Lake,0,0,50
Lane,46,1,1800
Lincoln,4,0,304
Linn,57,6,1249
Malheur,5,0,169
Marion,317,12,2728
Morrow,5,0,54
Multnomah,467,28,7952
Polk,31,1,547
Sherman,1,0,16
Tillamook,6,0,181
Umatilla,23,0,442
Union,4,0,88
Wallowa,1,0,21
Wasco,10,0,380
Washington,383,7,4896
Wheeler,0,0,7
Yamhill,35,6,911
Total,1785,70,34536
