County,Cases1,Deaths2
Baker,765,12
Benton,2596,18
Clackamas,14365,196
Clatsop,847,7
Columbia,1403,24
Coos,1900,29
Crook,818,18
Curry,557,8
Deschutes,6396,70
Douglas,2915,60
Gilliam,54,1
Grant,288,4
Harney,294,6
Hood River,1084,29
Jackson,9321,121
Jefferson,2017,31
Josephine,2829,59
Klamath,3044,57
Lake,405,6
Lane,10838,141
Lincoln,1220,20
Linn,3861,60
Malheur,3400,58
Marion,19417,297
Morrow,1062,15
Multnomah,33425,558
Polk,3251,48
Sherman,53,0
Tillamook,523,2
Umatilla,7878,82
Union,1382,22
Wallowa,150,5
Wasco,1243,27
Washington,22431,223
Wheeler,25,1
Yamhill,3956,70
Total,166013,2385
