County,Cases1,Total deaths2
Baker,602,7
Benton,2036,14
Clackamas,12792,154
Clatsop,756,5
Columbia,1139,20
Coos,1178,17
Crook,715,16
Curry,345,6
Deschutes,5538,47
Douglas,1964,49
Gilliam,53,1
Grant,217,1
Harney,215,6
Hood River,1028,26
Jackson,7712,104
Jefferson,1824,25
Josephine,2096,40
Klamath,2680,52
Lake,307,6
Lane,9521,115
Lincoln,1100,18
Linn,3411,51
Malheur,3297,56
Marion,17681,266
Morrow,994,13
Multnomah,30627,484
Polk,2805,42
Sherman,52,0
Tillamook,383,2
Umatilla,7337,76
Union,1220,18
Wallowa,117,4
Wasco,1190,24
Washington,20254,194
Wheeler,22,1
Yamhill,3533,59
Total,146741,2019
