County,Cases1,Deaths2
Baker,634,7
Benton,2260,16
Clackamas,13223,170
Clatsop,766,6
Columbia,1220,21
Coos,1374,18
Crook,765,18
Curry,407,6
Deschutes,5860,58
Douglas,2346,51
Gilliam,53,1
Grant,221,1
Harney,268,6
Hood River,1058,29
Jackson,8160,108
Jefferson,1925,27
Josephine,2267,48
Klamath,2753,54
Lake,374,6
Lane,10057,121
Lincoln,1121,19
Linn,3536,55
Malheur,3331,58
Marion,18209,281
Morrow,1032,13
Multnomah,31614,514
Polk,2993,42
Sherman,52,0
Tillamook,404,2
Umatilla,7580,80
Union,1265,19
Wallowa,142,4
Wasco,1218,25
Washington,20898,208
Wheeler,22,1
Yamhill,3726,62
Total,153134,2155
