County,Cases1,Deaths2
Baker,589,5
Benton,1891,14
Clackamas,12410,145
Clatsop,732,5
Columbia,1103,19
Coos,1070,16
Crook,682,15
Curry,329,5
Deschutes,5378,43
Douglas,1843,48
Gilliam,53,1
Grant,217,1
Harney,195,6
Hood River,1009,23
Jackson,7416,98
Jefferson,1766,25
Josephine,1925,36
Klamath,2611,51
Lake,267,5
Lane,9033,113
Lincoln,1061,18
Linn,3289,50
Malheur,3250,56
Marion,17117,256
Morrow,979,11
Multnomah,29799,474
Polk,2659,41
Sherman,49,0
Tillamook,377,2
Umatilla,7115,74
Union,1168,17
Wallowa,100,3
Wasco,1150,23
Washington,19687,186
Wheeler,22,1
Yamhill,3388,52
Total,141729,1938
