County,Cases1,Deaths2
Baker,971,15
Benton,3196,22
Clackamas,18353,223
Clatsop,1011,8
Columbia,1838,29
Coos,2147,36
Crook,1204,22
Curry,668,10
Deschutes,9676,79
Douglas,3572,77
Gilliam,64,1
Grant,529,6
Harney,383,8
Hood River,1204,32
Jackson,11250,144
Jefferson,2313,38
Josephine,3481,72
Klamath,4691,73
Lake,462,7
Lane,13535,154
Lincoln,1401,21
Linn,5358,77
Malheur,3562,63
Marion,22895,318
Morrow,1135,16
Multnomah,39613,606
Polk,3879,53
Sherman,63,1
Tillamook,664,4
Umatilla,8401,86
Union,1466,23
Wallowa,188,5
Wasco,1423,28
Washington,26368,238
Wheeler,34,1
Yamhill,4651,78
Total,201649,2674
