County,Cases1,Deaths2,Negatives3
Baker,102,2,1900
Benton,359,6,14623
Clackamas,2595,64,63644
ClarkCounty,1,0,0
Clatsop,228,0,5955
Columbia,210,1,7418
Coos,186,0,7419
Crook,64,1,2708
Curry,32,0,1932
Deschutes,928,12,32110
Douglas,262,4,13507
Gilliam,8,0,302
Grant,10,0,938
Harney,12,0,843
Hood River,255,0,5244
Jackson,1275,6,35555
Jefferson,567,8,5051
Josephine,222,2,12571
Klamath,306,3,10636
Lake,33,0,941
Lane,1551,19,68014
Lincoln,488,13,9020
Linn,580,13,17563
Malheur,1709,33,5533
Marion,5010,101,51114
Morrow,523,6,1845
Multnomah,7623,145,148949
Polk,567,15,9762
Sherman,18,0,348
Tillamook,54,0,3194
Umatilla,3108,42,13678
Union,447,2,4609
Wallowa,34,1,1037
Wasco,306,6,5287
Washington,4840,62,96725
Wheeler,0,0,167
Yamhill,827,14,17881
Total,35340,581,678058
