County,Cases1,Deaths2
Baker,961,14
Benton,3133,20
Clackamas,17748,215
Clatsop,995,8
Columbia,1761,29
Coos,2104,35
Crook,1144,22
Curry,651,10
Deschutes,9235,75
Douglas,3330,71
Gilliam,63,1
Grant,527,6
Harney,352,8
Hood River,1194,31
Jackson,10998,141
Jefferson,2227,37
Josephine,3376,71
Klamath,4515,65
Lake,458,7
Lane,13183,149
Lincoln,1390,21
Linn,5061,69
Malheur,3532,63
Marion,22297,309
Morrow,1113,16
Multnomah,38811,594
Polk,3799,53
Sherman,58,1
Tillamook,654,3
Umatilla,8262,84
Union,1453,23
Wallowa,186,5
Wasco,1384,28
Washington,25848,233
Wheeler,32,1
Yamhill,4520,76
Total,196355,2594
