County,Cases1,Deaths2,Negatives3
Baker,67,1,1316
Benton,206,6,10073
Clackamas,1852,55,48534
Clatsop,94,0,4522
Columbia,126,1,5540
Coos,101,0,5021
Crook,54,1,2177
Curry,20,0,1250
Deschutes,673,11,22870
Douglas,169,2,9848
Gilliam,4,0,236
Grant,8,0,656
Harney,11,0,671
Hood River,225,0,4262
Jackson,728,2,23065
Jefferson,452,6,4057
Josephine,151,2,8380
Klamath,225,2,8596
Lake,32,0,620
Lane,659,5,50520
Lincoln,456,13,7439
Linn,365,12,13055
Malheur,1064,16,4019
Marion,3587,76,37707
Morrow,430,3,1401
Multnomah,5761,110,112242
Polk,396,13,6703
Sherman,16,0,296
Tillamook,37,0,2476
Umatilla,2570,35,10822
Union,409,2,2853
Wallowa,22,1,799
Wasco,207,3,4184
Washington,3610,35,72804
Wheeler,0,0,148
Yamhill,604,14,13456
Total,25391,427,502618
