County,Cases1,Deaths2
Baker,1023,15
Benton,3269,22
Clackamas,18953,235
Clatsop,1060,9
Columbia,1923,29
Coos,2167,37
Crook,1291,23
Curry,720,11
Deschutes,10027,82
Douglas,3895,83
Gilliam,81,1
Grant,551,7
Harney,433,9
Hood River,1217,33
Jackson,11549,146
Jefferson,2371,39
Josephine,3617,72
Klamath,4778,78
Lake,468,8
Lane,13924,164
Lincoln,1434,21
Linn,5622,81
Malheur,3620,63
Marion,23444,323
Morrow,1155,16
Multnomah,40396,614
Polk,4005,56
Sherman,70,1
Tillamook,660,4
Umatilla,8609,87
Union,1501,24
Wallowa,194,5
Wasco,1445,30
Washington,26812,249
Wheeler,35,1
Yamhill,4786,79
Total,207105,2757
