County,Cases1,Deaths2,Negatives3
Baker,74,2,1368
Benton,217,6,10656
Clackamas,1979,56,51439
Clatsop,96,0,4820
Columbia,130,1,5893
Coos,116,0,5480
Crook,55,1,2300
Curry,20,0,1318
Deschutes,693,11,24366
Douglas,178,3,10443
Gilliam,4,0,244
Grant,8,0,758
Harney,12,0,704
Hood River,236,0,4441
Jackson,821,2,24195
Jefferson,461,7,4211
Josephine,158,2,8969
Klamath,235,2,8878
Lake,30,0,705
Lane,726,6,53595
Lincoln,466,13,7768
Linn,389,13,13813
Malheur,1189,19,4189
Marion,3870,80,40263
Morrow,439,3,1510
Multnomah,6053,120,119624
Polk,429,14,7340
Sherman,17,0,306
Tillamook,38,0,2636
Umatilla,2694,38,11682
Union,420,2,2967
Wallowa,22,1,837
Wasco,207,3,4324
Washington,3822,46,78147
Wheeler,0,0,152
Yamhill,642,14,14513
Total,26946,465,534854
