County,Cases1,Deaths2
Baker,1009,15
Benton,3254,22
Clackamas,18872,235
Clatsop,1044,9
Columbia,1908,29
Coos,2166,37
Crook,1289,23
Curry,701,11
Deschutes,9986,82
Douglas,3858,81
Gilliam,76,1
Grant,548,7
Harney,430,9
Hood River,1219,33
Jackson,11518,146
Jefferson,2363,39
Josephine,3575,72
Klamath,4774,78
Lake,467,8
Lane,13862,162
Lincoln,1427,21
Linn,5572,80
Malheur,3611,63
Marion,23370,323
Morrow,1153,16
Multnomah,40280,614
Polk,3977,55
Sherman,67,1
Tillamook,660,4
Umatilla,8592,87
Union,1491,24
Wallowa,194,5
Wasco,1438,30
Washington,26740,248
Wheeler,35,1
Yamhill,4773,79
Total,206299,2750
