County,Cases1,Deaths2
Baker,949,14
Benton,3085,19
Clackamas,17406,213
Clatsop,979,8
Columbia,1735,26
Coos,2059,33
Crook,1097,21
Curry,645,9
Deschutes,8883,74
Douglas,3259,70
Gilliam,63,1
Grant,509,5
Harney,343,8
Hood River,1186,30
Jackson,10824,138
Jefferson,2189,36
Josephine,3333,69
Klamath,4388,64
Lake,450,7
Lane,12958,149
Lincoln,1373,20
Linn,4893,68
Malheur,3514,63
Marion,21968,306
Morrow,1104,16
Multnomah,38207,587
Polk,3733,52
Sherman,58,1
Tillamook,647,3
Umatilla,8185,84
Union,1448,23
Wallowa,183,5
Wasco,1375,28
Washington,25498,232
Wheeler,32,1
Yamhill,4456,76
Total,193014,2559
