County,Cases1,Deaths2
Baker,1038,15
Benton,3284,22
Clackamas,19097,235
Clatsop,1075,9
Columbia,1951,30
Coos,2190,39
Crook,1305,23
Curry,745,12
Deschutes,10112,82
Douglas,3978,83
Gilliam,81,1
Grant,552,7
Harney,438,11
Hood River,1229,33
Jackson,11650,148
Jefferson,2396,41
Josephine,3665,72
Klamath,4804,78
Lake,472,8
Lane,14059,168
Lincoln,1458,21
Linn,5755,81
Malheur,3622,64
Marion,23621,325
Morrow,1166,16
Multnomah,40597,615
Polk,4055,56
Sherman,70,1
Tillamook,677,4
Umatilla,8700,87
Union,1517,24
Wallowa,196,5
Wasco,1459,30
Washington,26963,252
Wheeler,35,1
Yamhill,4822,79
Total,208834,2778
