County,Cases1,Deaths2,Negatives3
Baker,16,0,759
Benton,132,6,7549
Clackamas,1201,33,33136
Clatsop,68,0,3175
Columbia,66,0,3867
Coos,76,0,3449
Crook,29,1,1398
Curry,11,0,909
Deschutes,405,1,14807
Douglas,105,1,6865
Gilliam,2,0,137
Grant,2,0,467
Harney,5,0,503
Hood River,140,0,3233
Jackson,265,0,16322
Jefferson,222,0,2690
Josephine,78,1,5835
Klamath,175,1,6351
Lake,31,0,397
Lane,419,3,34652
Lincoln,378,8,6322
Linn,207,10,9515
Malheur,539,6,2673
Marion,2277,63,25464
Morrow,212,1,958
Multnomah,3743,76,76043
Polk,225,12,4025
Sherman,8,0,219
Tillamook,24,0,1817
Umatilla,1503,13,7153
Union,385,2,2210
Wallowa,18,1,570
Wasco,138,3,2892
Washington,2352,22,48141
Wheeler,0,0,132
Yamhill,256,9,8143
Total,15713,273,342778
