County,Cases1,Total deaths2,Negatives
Baker,568,5,0
Benton,1705,14,0
Clackamas,11698,138,0
Clatsop,686,5,0
Columbia,1049,18,0
Coos,938,15,0
Crook,621,10,0
Curry,324,5,0
Deschutes,4999,36,0
Douglas,1687,43,0
Gilliam,51,1,0
Grant,213,1,0
Harney,175,4,0
Hood River,954,21,0
Jackson,6930,85,0
Jefferson,1705,25,0
Josephine,1743,33,0
Klamath,2428,38,0
Lake,230,5,0
Lane,8353,109,0
Lincoln,996,17,0
Linn,3116,46,0
Malheur,3135,52,0
Marion,16247,239,0
Morrow,938,10,0
Multnomah,28467,459,0
Polk,2455,40,0
Sherman,47,0,0
Tillamook,365,2,0
Umatilla,6793,68,0
Union,1114,16,0
Wallowa,96,3,0
Wasco,1081,23,0
Washington,18734,171,0
Wheeler,20,1,0
Yamhill,3190,45,0
Total,133851,1803,0
