County,Cases1,Deaths2
Baker,609,7
Benton,2068,14
Clackamas,12909,154
Clatsop,758,5
Columbia,1148,21
Coos,1212,17
Crook,721,16
Curry,358,6
Deschutes,5577,48
Douglas,2001,49
Gilliam,53,1
Grant,218,1
Harney,235,6
Hood River,1039,27
Jackson,7764,105
Jefferson,1837,25
Josephine,2125,41
Klamath,2689,52
Lake,322,6
Lane,9611,117
Lincoln,1107,18
Linn,3433,51
Malheur,3299,56
Marion,17798,269
Morrow,1000,13
Multnomah,30830,485
Polk,2845,42
Sherman,52,0
Tillamook,386,2
Umatilla,7384,76
Union,1227,19
Wallowa,127,4
Wasco,1201,24
Washington,20390,194
Wheeler,22,1
Yamhill,3577,59
Total,147932,2031
