County,Cases1,Deaths2
Baker,794,13
Benton,2635,18
Clackamas,14741,201
Clatsop,866,8
Columbia,1470,25
Coos,1924,30
Crook,828,19
Curry,574,9
Deschutes,6633,72
Douglas,2976,65
Gilliam,55,1
Grant,331,4
Harney,299,6
Hood River,1095,29
Jackson,9570,126
Jefferson,2034,32
Josephine,2934,62
Klamath,3185,57
Lake,409,7
Lane,11109,144
Lincoln,1258,20
Linn,3982,61
Malheur,3412,58
Marion,19655,298
Morrow,1068,15
Multnomah,33969,564
Polk,3332,51
Sherman,56,0
Tillamook,556,2
Umatilla,7914,83
Union,1398,23
Wallowa,155,5
Wasco,1252,28
Washington,22834,229
Wheeler,25,1
Yamhill,4010,74
Total,169338,2440
