County,Cases1,Deaths2,Negatives3
Baker,13,0,675
Benton,122,6,6979
Clackamas,1079,29,29880
Clatsop,58,0,2886
Columbia,59,0,3508
Coos,60,0,3128
Crook,20,1,1257
Curry,9,0,826
Deschutes,316,1,13267
Douglas,74,1,6200
Gilliam,2,0,125
Grant,1,0,427
Harney,2,0,467
Hood River,114,0,2879
Jackson,203,0,14737
Jefferson,177,0,2443
Josephine,65,1,5260
Klamath,144,1,5866
Lake,24,0,361
Lane,336,3,30030
Lincoln,364,7,5349
Linn,190,10,8355
Malheur,465,5,2505
Marion,2028,56,22095
Morrow,173,1,828
Multnomah,3199,73,68007
Polk,191,12,3534
Sherman,5,0,196
Tillamook,22,0,1657
Umatilla,1189,8,6004
Union,377,2,1961
Wallowa,15,0,523
Wasco,123,2,2675
Washington,2070,21,43150
Wheeler,0,0,130
Yamhill,220,9,7267
Total,13509,249,"305,437"
