County,Cases1,Deaths2
Baker,964,15
Benton,3171,21
Clackamas,18080,219
Clatsop,1004,8
Columbia,1800,29
Coos,2134,35
Crook,1187,22
Curry,661,10
Deschutes,9490,78
Douglas,3454,73
Gilliam,63,1
Grant,529,6
Harney,366,8
Hood River,1199,31
Jackson,11144,143
Jefferson,2282,37
Josephine,3434,71
Klamath,4627,71
Lake,461,7
Lane,13396,151
Lincoln,1396,21
Linn,5259,74
Malheur,3547,63
Marion,22625,312
Morrow,1123,16
Multnomah,39241,596
Polk,3849,53
Sherman,59,1
Tillamook,659,3
Umatilla,8349,86
Union,1460,23
Wallowa,187,5
Wasco,1406,28
Washington,26155,234
Wheeler,34,1
Yamhill,4596,76
Total,199391,2628
