County,Positive,Deaths,Negative
Baker,0,0,30
Benton,24,3,572
Clackamas,135,3,2809
Clatsop,6,0,275
Columbia,11,0,373
Coos,1,0,340
Crook,1,0,107
Curry,3,0,96
Deschutes,55,0,1113
Douglas,19,0,524
Gilliam,0,0,15
Grant,1,0,31
Harney,0,0,45
Hood River,4,0,308
Jackson,47,0,2939
Jefferson,1,0,105
Josephine,19,1,668
Klamath,26,0,860
Lake,0,0,47
Lane,42,1,1451
Lincoln,4,0,263
Linn,52,4,1170
Malheur,4,0,147
Marion,289,9,2549
Morrow,5,0,44
Multnomah,420,20,7135
Polk,30,1,514
Sherman,1,0,14
Tillamook,5,0,160
Umatilla,16,0,393
Union,4,0,84
Wallowa,1,0,21
Wasco,10,0,333
Washington,365,7,4375
Wheeler,0,0,6
Yamhill,32,6,814
Total,1633,55,30730
