County,Cases1,Deaths2
Baker,1001,15
Benton,3247,22
Clackamas,18816,235
Clatsop,1036,8
Columbia,1895,29
Coos,2162,37
Crook,1283,23
Curry,689,11
Deschutes,9963,81
Douglas,3826,81
Gilliam,76,1
Grant,548,7
Harney,426,9
Hood River,1217,33
Jackson,11485,146
Jefferson,2359,38
Josephine,3553,72
Klamath,4763,78
Lake,467,8
Lane,13821,161
Lincoln,1418,21
Linn,5535,80
Malheur,3602,63
Marion,23320,322
Morrow,1151,16
Multnomah,40198,614
Polk,3955,55
Sherman,66,1
Tillamook,660,4
Umatilla,8544,87
Union,1490,24
Wallowa,194,5
Wasco,1435,30
Washington,26698,247
Wheeler,35,1
Yamhill,4764,79
Total,205698,2744
