County,Cases1,Deaths2
Baker,684,11
Benton,2411,18
Clackamas,13603,192
Clatsop,783,6
Columbia,1292,21
Coos,1658,21
Crook,786,18
Curry,464,7
Deschutes,6089,66
Douglas,2673,58
Gilliam,54,1
Grant,236,1
Harney,278,6
Hood River,1073,29
Jackson,8709,120
Jefferson,1988,30
Josephine,2467,57
Klamath,2844,55
Lake,388,6
Lane,10443,133
Lincoln,1147,20
Linn,3647,57
Malheur,3370,58
Marion,18782,290
Morrow,1053,14
Multnomah,32228,552
Polk,3114,46
Sherman,53,0
Tillamook,443,2
Umatilla,7745,82
Union,1328,20
Wallowa,144,5
Wasco,1228,26
Washington,21580,218
Wheeler,22,1
Yamhill,3837,69
Total,158644,2316
