County,Cases1,Deaths2
Baker,779,12
Benton,2611,18
Clackamas,14490,197
Clatsop,850,7
Columbia,1437,24
Coos,1903,29
Crook,822,18
Curry,562,9
Deschutes,6470,70
Douglas,2937,60
Gilliam,54,1
Grant,292,4
Harney,294,6
Hood River,1086,29
Jackson,9400,123
Jefferson,2022,31
Josephine,2864,60
Klamath,3086,57
Lake,406,7
Lane,10935,143
Lincoln,1235,20
Linn,3907,60
Malheur,3402,58
Marion,19510,297
Morrow,1064,15
Multnomah,33626,558
Polk,3289,48
Sherman,53,0
Tillamook,533,2
Umatilla,7884,82
Union,1390,22
Wallowa,151,5
Wasco,1246,27
Washington,22526,224
Wheeler,25,1
Yamhill,3987,70
Total,167128,2394
