County,Cases1,Total deaths2,Negative tests3,,,
Baker,181,3,2460,,,
Benton,510,6,19769,,,
Clackamas,3796,71,81197,,,
Clatsop,282,0,7260,,,
Columbia,304,2,9219,,,
Coos,286,1,9611,,,
Crook,139,5,3436,,,
Curry,72,2,2504,,,
Deschutes,1440,13,41490,,,
Douglas,457,10,16349,,,
Gilliam,17,0,386,,,
Grant,49,0,1152,,,
Harney,46,0,1051,,,
Hood River,297,1,6120,,,
Jackson,2274,8,44538,,,
Jefferson,633,11,6031,,,
Josephine,305,4,15723,,,
Klamath,465,3,12316,,,
Lake,49,0,1144,,,
Lane,2804,29,85938,,,
Lincoln,526,13,10199,,,
Linn,980,17,22329,,,
Malheur,2067,38,6640,,,
Marion,6685,117,65155,,,
Morrow,571,7,2186,,,
Multnomah,10942,185,188779,,,
Polk,766,15,13005,,,
Sherman,23,0,418,,,
Tillamook,86,0,3834,,,
Umatilla,3618,45,16229,,,
Union,531,2,5522,,,
Wallowa,63,2,1318,,,
Wasco,379,17,6274,,,
Washington,6795,87,120858,,,
Wheeler,1,0,187,,,
Yamhill,1148,15,22885,,,
Total,"49,587",729,"853,512",,,
