County,Cases1,Deaths2
Baker,851,14
Benton,2725,18
Clackamas,15216,204
Clatsop,883,8
Columbia,1533,26
Coos,1966,31
Crook,868,19
Curry,591,9
Deschutes,6987,72
Douglas,3027,65
Gilliam,55,1
Grant,404,4
Harney,304,6
Hood River,1124,29
Jackson,9846,127
Jefferson,2059,32
Josephine,3042,62
Klamath,3408,59
Lake,413,7
Lane,11478,144
Lincoln,1297,20
Linn,4107,63
Malheur,3425,58
Marion,20037,299
Morrow,1078,15
Multnomah,34641,566
Polk,3417,52
Sherman,57,0
Tillamook,576,3
Umatilla,7953,83
Union,1411,24
Wallowa,157,5
Wasco,1286,28
Washington,23309,229
Wheeler,25,1
Yamhill,4070,74
Total,173626,2457
