County,Cases1,Deaths2
Baker,581,5
Benton,1792,14
Clackamas,11937,141
Clatsop,707,5
Columbia,1069,18
Coos,972,15
Crook,645,11
Curry,324,5
Deschutes,5131,40
Douglas,1749,43
Gilliam,52,1
Grant,217,1
Harney,179,6
Hood River,974,21
Jackson,7073,95
Jefferson,1727,25
Josephine,1819,36
Klamath,2505,46
Lake,240,5
Lane,8653,113
Lincoln,1019,17
Linn,3179,49
Malheur,3193,53
Marion,16575,246
Morrow,962,10
Multnomah,28929,461
Polk,2534,40
Sherman,47,0
Tillamook,368,2
Umatilla,6941,72
Union,1140,17
Wallowa,99,3
Wasco,1105,23
Washington,19113,178
Wheeler,20,1
Yamhill,3269,47
Total,136839,1865
