County,Cases1,Deaths2,Negatives3
Baker,1,0,-
Benton,80,5,-
Clackamas,665,24,-
Clatsop,48,0,-
Columbia,27,0,-
Coos,39,0,-
Crook,9,0,-
Curry,7,0,-
Deschutes,159,0,-
Douglas,38,0,-
Gilliam,0,0,-
Grant,1,0,-
Harney,1,0,-
Hood River,88,0,-
Jackson,98,0,-
Jefferson,91,0,-
Josephine,28,1,-
Klamath,111,0,-
Lake,12,0,-
Lane,122,3,-
Lincoln,305,2,-
Linn,136,9,-
Malheur,73,1,-
Marion,1400,41,-
Morrow,48,2,-
Multnomah,2028,68,-
Polk,134,12,-
Sherman,1,0,-
Tillamook,7,0,-
Umatilla,363,4,-
Union,309,1,-
Wallowa,8,0,-
Wasco,58,1,-
Washington,1214,20,-
Wheeler,0,0,-
Yamhill,109,8,-
Total,7818,202,Pending
