County,Cases1,Deaths2
Baker,954,14
Benton,3100,19
Clackamas,17440,214
Clatsop,985,8
Columbia,1744,27
Coos,2066,33
Crook,1113,22
Curry,646,9
Deschutes,8962,74
Douglas,3272,71
Gilliam,63,1
Grant,509,5
Harney,344,8
Hood River,1187,30
Jackson,10862,139
Jefferson,2198,37
Josephine,3345,70
Klamath,4411,64
Lake,451,7
Lane,13007,148
Lincoln,1379,21
Linn,4929,69
Malheur,3518,63
Marion,22026,306
Morrow,1107,16
Multnomah,38352,591
Polk,3757,52
Sherman,58,1
Tillamook,649,3
Umatilla,8202,84
Union,1448,23
Wallowa,184,5
Wasco,1377,28
Washington,25592,233
Wheeler,32,1
Yamhill,4463,76
Total,193732,2572
