County,Cases1,Deaths2,Negatives3
Baker,125,3,2218
Benton,445,6,18137
Clackamas,3172,65,75323
Clatsop,244,0,6706
Columbia,269,1,8607
Coos,251,0,8884
Crook,110,2,3099
Curry,58,1,2361
Deschutes,1136,13,38151
Douglas,359,8,15359
Gilliam,11,0,360
Grant,11,0,1041
Harney,34,0,947
Hood River,277,1,5847
Jackson,1707,6,41330
Jefferson,605,9,5586
Josephine,269,3,14482
Klamath,417,3,11823
Lake,38,0,1059
Lane,2419,27,81135
Lincoln,517,13,9834
Linn,816,15,20708
Malheur,1927,38,6295
Marion,5929,108,60277
Morrow,545,7,2065
Multnomah,9292,163,175196
Polk,657,15,11899
Sherman,19,0,385
Tillamook,70,0,3609
Umatilla,3376,45,15419
Union,468,2,5107
Wallowa,46,2,1199
Wasco,348,16,5914
Washington,5838,77,112441
Wheeler,2,0,187
Yamhill,1001,15,21197
Total,42808,664,794187
