County,Total Cases1,Total deaths2
Baker,629,7
Benton,2252,16
Clackamas,13198,170
Clatsop,766,6
Columbia,1217,21
Coos,1356,18
Crook,765,18
Curry,397,6
Deschutes,5849,58
Douglas,2333,51
Gilliam,53,1
Grant,221,1
Harney,266,6
Hood River,1057,29
Jackson,8117,108
Jefferson,1921,27
Josephine,2267,48
Klamath,2753,54
Lake,374,6
Lane,10046,121
Lincoln,1121,19
Linn,3534,55
Malheur,3331,58
Marion,18183,280
Morrow,1031,13
Multnomah,31534,514
Polk,2981,42
Sherman,52,0
Tillamook,403,2
Umatilla,7581,80
Union,1264,19
Wallowa,142,4
Wasco,1218,25
Washington,20867,209
Wheeler,22,1
Yamhill,3717,62
Total,152818,2155
