County,Positive,Deaths,Negative
Baker,0,0,77
Benton,32,5,1370
Clackamas,224,7,5565
Clatsop,7,0,506
Columbia,14,0,737
Coos,21,0,610
Crook,1,0,231
Curry,4,0,164
Deschutes,78,0,2085
Douglas,24,0,1147
Gilliam,0,0,22
Grant,1,0,51
Harney,1,0,64
Hood River,7,0,493
Jackson,49,0,4232
Jefferson,13,0,318
Josephine,21,1,1097
Klamath,39,0,2099
Lake,0,0,71
Lane,54,2,3713
Lincoln,5,0,562
Linn,87,7,1881
Malheur,12,0,259
Marion,523,19,4348
Morrow,9,0,88
Multnomah,734,46,13103
Polk,41,2,855
Sherman,1,0,30
Tillamook,6,0,327
Umatilla,61,1,704
Union,4,0,130
Wallowa,1,0,36
Wasco,13,1,609
Washington,509,11,8463
Wheeler,0,0,11
Yamhill,39,7,1443
Total,2635,109,57501
