County,Cases1,Deaths2,Negatives3
Baker,1,0,165
Benton,55,5,3403
Clackamas,284,9,9628
Clatsop,42,0,1262
Columbia,16,0,1293
Coos,31,0,1166
Crook,1,0,435
Curry,5,0,276
Deschutes,117,0,4125
Douglas,25,0,2058
Gilliam,0,0,49
Grant,1,0,95
Harney,1,0,147
Hood River,12,0,897
Jackson,52,0,5770
Jefferson,25,0,689
Josephine,25,1,1769
Klamath,41,0,3007
Lake,0,0,106
Lane,66,2,8115
Lincoln,8,0,1208
Linn,110,9,3410
Malheur,24,0,543
Marion,882,24,7992
Morrow,12,0,137
Multnomah,1026,57,21900
Polk,94,10,1564
Sherman,1,0,66
Tillamook,6,0,575
Umatilla,107,3,1363
Union,6,0,301
Wallowa,1,0,90
Wasco,18,1,974
Washington,659,17,14323
Wheeler,0,0,75
Yamhill,63,7,2417
Total,3817,145,101393
