County,Cases1,Deaths2,Negatives3
Baker,90,2,1519
Benton,251,6,12033
Clackamas,2226,61,56399
Clatsop,109,0,5254
Columbia,148,1,6545
Coos,136,0,6319
Crook,60,1,2451
Curry,26,0,1592
Deschutes,746,12,27724
Douglas,200,3,12079
Gilliam,7,0,260
Grant,8,0,850
Harney,12,0,757
Hood River,241,0,4726
Jackson,1021,3,31387
Jefferson,505,8,4460
Josephine,180,2,11215
Klamath,269,2,9738
Lake,29,0,840
Lane,933,14,59530
Lincoln,470,13,8367
Linn,454,13,15485
Malheur,1490,23,4734
Marion,4387,89,44845
Morrow,484,5,1634
Multnomah,6743,129,132415
Polk,493,15,8312
Sherman,18,0,324
Tillamook,48,0,2864
Umatilla,2895,41,12577
Union,435,2,3371
Wallowa,28,1,918
Wasco,233,3,4685
Washington,4241,58,86502
Wheeler,0,0,159
Yamhill,726,14,16208
Total,30342,521,599080
