County,Cases1,Deaths2
Baker,915,14
Benton,2881,19
Clackamas,16294,207
Clatsop,946,8
Columbia,1638,26
Coos,2022,32
Crook,977,19
Curry,632,9
Deschutes,7949,73
Douglas,3137,69
Gilliam,57,1
Grant,480,4
Harney,326,8
Hood River,1157,30
Jackson,10420,130
Jefferson,2118,32
Josephine,3210,66
Klamath,3929,59
Lake,433,7
Lane,12254,144
Lincoln,1338,20
Linn,4473,65
Malheur,3456,59
Marion,21104,300
Morrow,1091,15
Multnomah,36553,574
Polk,3582,52
Sherman,57,1
Tillamook,614,3
Umatilla,8071,84
Union,1432,23
Wallowa,168,5
Wasco,1345,28
Washington,24484,229
Wheeler,26,1
Yamhill,4261,75
Total,183830,2491
