County,Case Count,Deaths,Negatives
Baker,339,4,0
Benton,948,8,0
Clackamas,7644,93,0
Clatsop,428,1,0
Columbia,613,7,0
Coos,548,4,0
Crook,309,6,0
Curry,178,2,0
Deschutes,2969,15,0
Douglas,1132,25,0
Gilliam,25,1,0
Grant,154,1,0
Harney,115,1,0
Hood River,514,3,0
Jackson,4566,44,0
Jefferson,1035,11,0
Josephine,718,7,0
Klamath,1235,11,0
Lake,160,1,0
Lane,5183,62,0
Lincoln,734,16,0
Linn,1895,27,0
Malheur,2569,45,0
Marion,10787,172,0
Morrow,714,7,0
Multnomah,20185,297,0
Polk,1495,24,0
Sherman,24,0,0
Tillamook,172,0,0
Umatilla,4741,52,0
Union,870,8,0
Wallowa,72,3,0
Wasco,649,19,0
Washington,12522,114,0
Wheeler,10,0,0
Yamhill,2035,19,0
Total,88287,1110,0
