County,Number of cases,Deaths,Negative test results
Baker,0,0,6
Benton,6,0,163
Clackamas,21,2,593
Clatsop,1,0,55
Columbia,0,0,62
Coos,0,0,75
Crook,0,0,6
Curry,0,0,14
Deschutes,10,0,106
Douglas,3,0,68
Gilliam,0,0,2
Grant,1,0,1
Harney,0,0,12
Hood River,1,0,60
Jackson,4,0,335
Jefferson,0,0,9
Josephine,2,0,60
Klamath,1,0,65
Lake,0,0,3
Lane,5,1,224
Lincoln,1,0,31
Linn,25,1,386
Malheur,0,0,19
Marion,43,2,438
Morrow,0,0,12
Multnomah,33,2,1371
Polk,3,0,106
Sherman,0,0,1
Tillamook,0,0,28
Umatilla,2,0,54
Union,1,0,14
Wallowa,0,0,3
Wasco,0,0,31
Washington,96,2,855
Wheeler,0,0,1
Yamhill,7,0,207
Total,266,10,5476
