County,Cases1,Deaths2,Negatives3
Baker,52,0,1124
Benton,182,6,9263
Clackamas,1627,49,42953
Clatsop,88,0,3993
Columbia,103,1,4848
Coos,93,0,4292
Crook,51,1,1909
Curry,17,0,1121
Deschutes,627,11,20117
Douglas,159,1,8925
Gilliam,4,0,203
Grant,4,0,595
Harney,11,0,615
Hood River,215,0,4030
Jackson,536,2,21067
Jefferson,396,4,3707
Josephine,136,2,7479
Klamath,206,2,7822
Lake,32,0,578
Lane,615,4,46502
Lincoln,431,9,7114
Linn,315,11,11864
Malheur,869,15,3613
Marion,3090,73,34024
Morrow,393,3,1316
Multnomah,5186,101,100400
Polk,350,12,5849
Sherman,16,0,278
Tillamook,35,0,2225
Umatilla,2398,32,10065
Union,397,2,2709
Wallowa,20,1,737
Wasco,199,3,3932
Washington,3258,27,63654
Wheeler,0,0,139
Yamhill,502,13,11432
Total,22613,385,450494
