County,Cases1,Deaths2
Baker,576,5
Benton,1743,14
Clackamas,11789,138
Clatsop,692,5
Columbia,1054,18
Coos,952,15
Crook,629,11
Curry,323,5
Deschutes,5073,39
Douglas,1709,43
Gilliam,51,1
Grant,213,1
Harney,178,4
Hood River,961,21
Jackson,7004,85
Jefferson,1712,25
Josephine,1785,35
Klamath,2469,44
Lake,236,5
Lane,8467,110
Lincoln,1004,17
Linn,3149,49
Malheur,3164,53
Marion,16394,242
Morrow,945,10
Multnomah,28678,460
Polk,2492,40
Sherman,47,0
Tillamook,369,2
Umatilla,6856,71
Union,1125,16
Wallowa,97,3
Wasco,1091,23
Washington,18867,175
Wheeler,20,1
Yamhill,3228,46
Total,135142,1832
