County,Total Cases1,Total deaths2,,,,
Baker,992,15,,,,
Benton,3239,22,,,,
Clackamas,18748,234,,,,
Clatsop,1026,8,,,,
Columbia,1886,29,,,,
Coos,2157,37,,,,
Crook,1274,23,,,,
Curry,685,10,,,,
Deschutes,9931,80,,,,
Douglas,3785,80,,,,
Gilliam,75,1,,,,
Grant,547,7,,,,
Harney,414,9,,,,
Hood River,1215,33,,,,
Jackson,11420,146,,,,
Jefferson,2357,38,,,,
Josephine,3529,72,,,,
Klamath,4753,77,,,,
Lake,466,7,,,,
Lane,13772,158,,,,
Lincoln,1412,21,,,,
Linn,5504,79,,,,
Malheur,3597,63,,,,
Marion,23258,322,,,,
Morrow,1150,16,,,,
Multnomah,40113,612,,,,
Polk,3937,55,,,,
Sherman,66,1,,,,
Tillamook,660,4,,,,
Umatilla,8517,86,,,,
Union,1487,24,,,,
Wallowa,194,5,,,,
Wasco,1434,29,,,,
Washington,26647,247,,,,
Wheeler,35,1,,,,
Yamhill,4747,79,,,,
Total,205029,2730,,,,
